on,"prep. 在...之上
adv. ...上去
a. 正起作用的
"
under,"prep. 在...之下, 低于
a. 下面的, 从属的
adv. 在下面"
behind,"adv. 在后地
prep. 在...背后"
in,"prep. 在...期间, 在...之内, 处于...之中, 从事于, 按照, 穿着
adv. 进入, 朝里, 在里面, 在屋里
a. 在里面的, 在朝的
n. 执政者, 交情"
a sofa,无
a vase,无
a basket, 一篮子
rice,"n. 米, 米饭, 稻
vt. 将...压成米粒状"
broccoli,n. 花椰菜
fish,"n. 鱼, 鱼肉, 鱼类, 接合板
vt. 钓, 钓鱼, 查出, 用接合板连接
vi. 捕鱼, 钓鱼, 用钩捞取, 摸索寻找"
soup,"n. 汤, 马力
vt. 加速, 增加马力"
meat,"n. 肉, 餐, 食物
"
noodles,"n. 面条, 挂面（noodle的复数形式）"
Maths,n. 数学
Chinese,"n. 中文, 中国话, 中国人
a. 中国的, 中国话的"
English,[网络] 英语
PE,"n. 体育（课）（全写为 physical education）
"
Art,"n. 艺术；技术；技巧；表演艺术
v. 对一人讲话时用
"
Music,"n. 音乐, 乐曲"
ear,"n. 耳朵, 倾听, 听觉, 穗
vi. 抽穗"
hair,"n. 头发, 毛发, 些微
"
eye,"n. 眼睛, 视力, 看
vt. 看, 注视"
mouth,"n. 嘴, 口, 口腔, 口状物
vi. 装腔作势说话, 做鬼脸
vt. 说出, 做作地说"
face,"n. 脸, 面容, 正面, 外观
vt. 面对, 朝, 正视, 面临
vi. 朝, 向
"
nose,"n. 鼻子, 突出部分, 嗅觉
vt. 嗅到, 探出, 用鼻子触
vi. 闻, 嗅, 探听, 告密"
skip,"n. 跳跃, 跳读
vi. 跳越, 跳读, 跳绳, 遗漏, 跳级
vt. 跳过, 遗漏
"
ride a bike, 骑自行车
skate,"n. 溜冰, 冰鞋
vi. 滑冰, 滑过"
swim,"n. 游泳, 漂浮, 潮流, 眩晕
vi. 游泳, 游, 漂浮, 浸, 覆盖, 充溢, 大量拥有, 旋转, 眩晕
vt. 游过, 使浮起"
a dress,[网络] 你的英文地址；地址值；总部地址
a skirt,[网络] 裙子；一条短裙；短裙
shorts,"n. 短裤, (美)男人的短衬裤
"
a T-shirt,无
a blouse,无
a hat,[网络] 帽子；一顶帽子；有沿的帽
beach,n. 海滩
pool,"n. 池, 水塘, 石油层, 联营
vt. 合伙经营, 共享, 采掘, 汇聚成
vi. 汇合成塘, 淤积, 联营"
ice cream,"冰淇淋
"
orange juice,橘子汁
queue up,排队等候
clean up,"na. 收拾干净；【机械工程】改正；〔俚语〕赚厚利
"
push,"n. 推, 推动, 奋斗, 攻击, 进取心
vt. 推, 推动, 使伸出, 推行, 逼迫, 增加
vi. 推, 推进, 增加, 努力争取"
talk,"n. 谈话, 交谈, 会谈, 讲话, 演讲, 空谈, 谣言, 方言, 语言
vi. 讲话, 演讲, 说话, 谈话, 交流, 闲聊, 说闲话
vt. 讲, 说, 讨论, 谈论
"
shout,"n. 呼喊, 喊声
vi. 呼喊, 喊叫, 嚷
vt. 高喊"
