fossil man,化石人
recount,"vt. 详述, 叙述, 重新计算
n. 重新计算"
saga,"n. 传说, 英雄传奇, 冒险故事"
legend,"n. 传说, 传奇文学, 图例
"
migration,"n. 移民, 移往, 移动
"
anthropologist,n. 人类学家
ancestor,"n. 祖先, 祖宗"
Polynesian,"a. 波利尼西亚人的, 波利尼西亚的
n. 波利尼西亚人"
Indonesia,n. 印尼
archaeologist,n. 考古学家
flint,"n. 打火石, 燧石, 极硬的东西
"
rot,"n. 腐烂, 腐蚀, 败坏
vi. 腐烂, 烂, 堕落, 憔悴
vt. 使腐烂, 使腐朽, 使堕落"
beast,"n. 畜生, 动物, 野兽, 兽性"
census,"n. 户口普查
vt. 实施统计调查"
acre,n. 英亩
content,"n. 内容, 满足, 意义, 要旨
a. 满足的, 满意的
vt. 使...满足, 使...安心
"
Matterhorn,"马塔角, 陡角山峰"
alpinist,"n. 登山家, 登阿尔卑斯山者"
pioneer,"n. 先锋, 拓荒者, 创始人
vt. 提倡, 开辟, 开创, 倡导
vi. 作先驱, 开路
a. 最早的, 开拓的, 先驱的, 有开拓者特点的"
summit,"n. 顶点, 最高阶层, 最高级会议
a. 政府首脑的, 最高级的"
attain,"vt. 达到, 获得
vi. 达到"
perilous,"a. 危险的, 濒临毁灭的"
shudder,"n. 战栗, 发抖
vi. 战栗, 发抖"
court,"n. 法院, 庭院, 奉承
vt. 献殷勤, 追求, 招致
vi. 求爱"
solitary,"n. 独居者
a. 孤独的, 独居的"
impoverish,"vt. 使贫穷, 耗尽...的力气"
Alpine,"a. 高山的, 高山生长的"
flea-ridden,a. 充满跳蚤的
coarse,"a. 粗糙的, 下等的, 粗俗的
"
boast,"n. 吹牛
vi. 吹牛, 自夸
vt. 夸口说, 自恃有"
parishioner,n. 教民
shepherd,"n. 牧羊人, 牧羊犬, 牧师, 保护者
vt. 看守, 领导, 指导, 牧羊"
linen,"n. 亚麻布, 亚麻线, 亚麻制品
a. 亚麻布制的, 亚麻的"
the Alps,n. 阿尔卑斯山脉
solid,"n. 固体
a. 坚硬的, 稳固的, 固体的, 实心的, 纯质的, 立体的, 立方的
"
safe,"n. 保险箱, 冷藏室
a. 安全的, 可靠的, 平安的, 稳健的, 有把握的"
Ulyanovsk,[地名] 乌里扬诺夫斯克 ( 俄 )
commission,"n. 委任状, 任官令, 所委职责, 佣金, 犯, 委托, 所托之事
vt. 委任, 委托制作, 使服役"
opaque,"n. 不透明物
a. 不透明的, 不传热的, 不传导的, 阴暗的
"
lotto,n. 抽数码游戏
slipper,"n. 拖鞋, 制轮器
vt. 用拖鞋打"
blindfold,"n. 眼罩, 障眼物
vt. 遮眼, 蒙骗
a. 看不清的, 盲目的"
leave,"n. 许可, 告别, 请假, 休假
vt. 离开, 剩下, 遗忘, 委托, 丢弃
vi. 出发, 离开, 生叶"
fundamentals,n. 基本面；基本原理（fundamental的复数）
glorious,a. 光荣的
splendid,"a. 光亮的, 了不起的, 灿烂的, 壮丽的, 显著的, 杰出的"
rub,"n. 摩擦, 困难, 障碍, 磨损处
vt. 擦, 搓, 摩擦, 惹怒
vi. 摩擦, 擦破"
identity,"n. 身份, 相同, 一致, 特性, 恒等式
"
dreary,a. 沉闷的
commitment,"n. 委托, 交押, 承担义务, 赞助
"
mean,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的
vt. 意谓, 想要, 意欲, 预定
vi. 用意, 有意义
n. 平均数, 中间, 中庸"
social climber,"n. <美>想法挤入上流社会者, 攀高枝者, 巴结权贵向上爬的人"
devotion,"n. 热爱, 投入"
cosmic,"a. 宇宙的, 宇宙航行的, 无限的, 有秩序的
"
suburban,"a. 郊外的, 郊区的, (贬)偏狭的, 土气的, 见识不广的
n. 郊区居民"
conceited,"a. 自负的, 逞能的, 狂想的"
presumptuous,"a. 放肆的, 冒昧的, 傲慢的"
fatuous,"a. 发呆的, 愚笨的"
cliché,无
goodwill,"n. 友好, 好意, 善意, 亲善, (企业享有的)信誉, 声誉
"
cricket,"n. 蟋蟀, 板球"
inclination,"n. 倾向, 趋向, 倾斜度, 点头
"
contest,"n. 竞赛, 争论
vt. 竞争, 争取, 争辩
vi. 竞争"
orgy,"n. 无节制, 狂欢, 纵酒宴乐, 放荡"
deduce,"vt. 推论, 演绎出
"
competitive,"a. 竞争的
"
patriotism,"n. 爱国心, 爱国精神, 爱国主义"
disgrace,"n. 耻辱, 不名誉
vt. 使受耻辱, 使失体面"
savage,"a. 未开化的, 野蛮的, 无礼的, 残酷的, 原始的, 粗鲁的, 未开发的
vt. 用暴力对付, 凶猛攻击
n. 原始人, 粗鲁人"
combative,"a. 好斗的, 好事的"
mimic warfare,无
behaviour,"n. 行为, 举止
"
absurd,"a. 荒谬的, 不合理的, 可笑的
n. 荒诞"
bat,"n. 蝙蝠, 球棒
v. 用球棒打, 眨眼
"
strictly,"adv. 严格地, 确实地"
utilitarian,"a. 有效用的, 实利主义的, 功利主义的
n. 功利主义者"
appreciation,"n. 感激, 赏识, 鉴别
"
obstruction,"n. 障碍, 妨碍, 闭塞物
"
elapse,"vi. 逝去, 过去
n. 逝去, 过去"
hull,"n. 壳, 皮, 船体
vt. 去壳"
interval,"n. 间隔, 距离, 间歇, 间隙
"
receipt,"n. 收据, 收入, 收到
vt. 开...的收据"
apparatus,"n. 装置, 器具, 器官
"
shoal,"n. 浅水, 浅滩, 沙洲, 鱼群, 暗礁, 潜在危险
a. 浅的
vi. 鱼成群而游, 变浅
vt. 使变浅"
herring,"n. 青鱼, 鲱"
cod,"n. 鳕, 欺骗, 愚弄
v. 欺骗, 愚弄"
squeak,"n. 吱吱声, 侥幸
vi. 吱吱叫, 告密, 侥幸成功
vt. 以短促尖声发出"
slaughter,"n. 残杀, 屠杀, 杀戮
vt. 残杀, 屠杀, 亏本出售"
fit,"n. 适宜, 合身, 发作, 痉挛
a. 适宜的, 对的, 准备好的
vt. 适合, 安装, 使合身, 使适应, 使合格
vi. 适合, 符合, 合身
"
grace,"n. 优雅, 风度, 慈悲, 恩惠, 体面, 赦免, 恩典, 谢恩祷告
vt. 使优美"
tariff,"n. 关税, 关税表, 价格表, 收费表
vt. 课以关税
"
standard,"n. 标准, 规格, 旗, 军旗, 本位
a. 标准的, 合规格的
"
dialysis,"n. 透析, 渗析
"
electrocute,"vt. 以电椅处死, 以电击杀死, 通电致死
"
eliminate,"vt. 除去, 排除, 剔除, 消除"
accord,"n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合"
device,"n. 装置, 设计, 策略, 发明物, 设备
"
hammer out,"na. 苦心想出；推敲出；敲出(音调等)；锤薄
"
pact,"n. 契约, 协定, 条约
"
espionage,"n. 间谍活动
"
Alfred,n. 阿尔佛雷德（男子名）
Danish,"n. 丹麦文
a. 丹麦的, 丹麦人的, 丹麦文的"
minstrel,n. 吟游诗人
wandering,"a. 漫游的, 徘徊的, 流浪的, 蜿蜒的
n. 闲逛, 流浪, 离题, 胡言乱语"
