edict,"n. 布告, 法令
"
enamor,"vt. 迷住, 使迷恋"
insensate,"a. 无感觉的, 迟钝的, 无生命的, 无情的"
renegade,"n. 背教者, 变节者, 脱党者
a. 背弃的, 脱离的, 叛徒的
vi. 背叛, 背弃, 脱离"
soliloquy,"n. 自言自语, 独白"
stricture,"n. 狭窄, 指责, 束缚
"
triumvirate,"n. 三执政, 三头统治, 三人执政之职"
usurp,"vt. 篡夺, 侵占, 夺取
vi. 篡夺, 侵占"
vestment,"n. 衣服, 衣裳, 礼服, 法衣, 祭服"
votary,"n. (天主教)立誓献身者, 崇拜者, 支持者, 信徒"
advent,"n. 来到, 来临"
blasé,无
bravado,n. 虚张声势
disparate,"a. 根本不同的, 全异的, 不相干的
n. 无法相比的东西(或人)"
domicile,"n. 住所, 住宅
v. (使)定居"
fabricate,"vt. 制造, 建造, 装配, 伪造"
itinerant,"a. 巡回的
n. 巡回者"
lilliputian,"a. 小人国的, 小的
n. 小人, 侏儒"
phobia,"n. 恐怖病, 恐惧症, 惧怕, 憎恶
"
proclivity,"n. 倾向, 癖性"
projectile,"n. 发射体, 抛射物
a. 发射的, 投射的"
queasy,"a. 呕吐的, 使人呕吐的
"
reciprocate,"vt. 回报, 互换, 交换, 报答, 使往复运动
vi. 往复运动, 回报, 互换, 酬答"
relegate,"vt. 驱逐, 使降低地位, 把...归类, 把...委托给
"
vertigo,"n. 眩晕, 迷惘
"
amnesia,"n. 健忘症, 记忆缺失
"
appease,"vt. 抚慰, 缓解, 平息, 姑息
"
attrition,"n. 摩擦, 磨损
"
debacle,"n. 崩溃, 大失败"
defoliate,v. (使)落叶
equestrian,"a. 骑术的, 马的, 骑在马背上的
n. 骑手"
expunge,"vt. 擦掉, 删掉, 除去"
hackneyed,"a. 使用过于频繁的, 常见的, 陈腐的"
opprobrium,"n. 污名, 耻辱, 咒骂
"
proviso,"n. 附文, 附带条件, 限制性条款
"
sully,"vt. 玷污, 弄脏
n. 污点, 脏污"
tactile,"a. 触觉的, 有触觉的
"
upbraid,"vt. 谴责, 责骂, 申斥"
verdant,"a. 翠绿的, 青翠的, 无经验的, 不老练的"
vertex,"n. 顶点, 最高点, 头顶, 天顶
"
attenuate,"a. 纤细的, 稀薄的, 稀释的
vt. 使减弱, 使纤细
vi. 变稀薄, 变纤细, 减少
"
behemoth,n. 庞然大物
disinter,"vt. 掘出, 发掘, 使显露"
impinge,"vi. 撞击, 起作用, 侵犯
vt. 撞击"
multifarious,"a. 多种的, 各种各样的, 许多的"
oxymoron,"n. 矛盾修饰法, 逆喻"
plenitude,"n. 充分, 完全, 丰富, 大量, 充足"
postulate,"n. 假定, 基本条件
vt. 要求, 假定"
prevail,"vi. 获胜, 流行, 盛行
"
putrefy,"v. (使)化脓, (使)腐烂, (使)堕落"
salubrious,"a. 有益健康的, 健康的
"
succulent,"a. 多汁的, 多水分的
"
tundra,"n. 苔原, 冻原"
unequivocal,"a. 不含糊的, 不模棱两可的, 明确的
"
vicissitudes,"(vicissitude 的复数) n. 变化无常, 变迁, 荣枯, 盛衰"
amity,"n. 友好, 亲善关系"
animadversion,"n. 批评, 责备"
antithetical,"a. 对立的, 正相反的"
bellicose,"a. 好战的, 好斗的
"
bucolic,"a. 牧民的, 牧歌的, 乡下风味的
n. 田园诗, 农夫"
craven,"n. 懦夫, 怯懦者, 胆小鬼
a. 怯懦的, 畏缩的, 胆小的"
exalt,"vt. 提升, 提高, 赞扬, 使得意
vi. 使人兴奋, 使人得意"
impugn,"vt. 责难, 抨击, 攻击
"
introspective,"a. 内省的
"
métier,无
penurious,"a. 赤贫的, 缺乏的, 吝啬的"
privation,"n. 缺乏, 穷困"
sobriquet,n. 绰号
