ankle,"n. 踝
"
bank,"n. 银行, 堤, 岸
"
bolt,"n. 门闩, 螺钉, 筛子, 闪电, 意外事件
vt. 闩住, 发射, 脱口而出, 筛, 囫囵吞下
vi. 囫囵吞枣, 射箭, 脱缰, 退出党派
adv. 突然"
butt,"n. 粗大的一头, 烟头, 靶, 笑柄
"
calf,"n. 小牛, 小牛皮, 腓肠
"
careen,"vt. 倾斜, 倾, (为了修理或清洁)使倾侧
n. 船的倾侧"
colleague,"n. 同事, 同僚"
confusion,"n. 混乱, 混淆, 无秩序
"
descent,"n. 降落, 家系, 侵袭, 血统
"
devastating,"a. 毁灭性的, (非正式)很好的, 引人注目的"
dilemma,"n. 困境, (进退两难的)窘境"
drawstring,"n. 束带, 拉绳"
flight,"n. 飞行, 射程, 逃走, 飞跃, 飞机航程, 班机, 迁徙, 飞逝
vi. 迁徙
vt. 射击(飞禽), 为(箭)装上羽毛, 使惊飞"
gasp,"n. 喘气
vi. 喘气, 喘息, 渴望
vt. 气喘吁吁地说"
heavyset,a. 体格魁伟的
illusion,"n. 幻影, 错觉, 幻想
"
lash,"n. 鞭子, 鞭打, 睫毛, 责骂, 讽刺
vt. 鞭打, 摆动, 扎捆, 冲击, 讽刺, 煽动
vi. 冲洗, 鞭打, 责骂"
lobby,"n. 大厅, 休息室, 游说议员者
vi. 游说议员, 游说
vt. 游说"
pandemonium,"n. 魔窟, 地狱, 阎王殿, 无法无天, 一片混乱, 大混乱, 大吵大闹, 乌烟瘴气"
purgatory,"n. 涤罪, 炼狱
a. 涤罪的"
rip,"n. 裂痕, 破绽, 拉裂, 浪子, 巨浪
vi. 被拉开, 裂开, 猛冲
vt. 撕, 扯, 劈"
rumble,"n. 隆隆声, 辘辘声
vi. 发隆隆声, 辘辘响
vt. 使隆隆响, 低沉地说"
sap,"n. 树液, 体液, 活力, 坑道, 消弱, 警棍
vt. 使排出体液, 使伤元气, 使衰竭, 挖坑道逼近, 逐渐侵蚀
vi. 挖坑道, 消弱
"
soak,"n. 浸, 湿透, 大雨
vt. 使上下湿透, 浸, 吸入, 吸收, 浸洗掉
vi. 浸泡, 渗透"
spasm,"n. 痉挛, 抽搐, 发作
"
stairwell,n. 楼梯井
sway,"n. 摇摆, 影响力, 支配
vt. 摇动, 支配, 弄歪, 使倾斜, 使动摇, 影响
vi. 摇动, 摇摆, 倾斜, 动摇, 统治, 转向"
ultimate,"n. 终极, 根本, 顶点, 基本原则
a. 终极的, 根本的, 极限的, 最远的, 最后的, 最大的"
cast into, 铸成
find one's way to,设法到达
guinea pig,天竺鼠
off and on,断断续续地
wade into,猛烈攻击
window shade,遮光窗帘
accomplished,"a. 完成的, 实现的, 有造诣的, 熟练的, 善社交的"
adolescent,"a. 青春期的, 青少年的
n. 青少年"
aging,"n. 老化, 变陈
"
agony,"n. 极大的痛苦, 挣扎
"
apt,"a. 有...倾向的, 易于的, 恰当的, 聪明的
"
aspect,"n. 外观, 方面, 面貌, 方向
"
await,"vt. 等候
vi. 等待着"
blazer,"n. 燃烧体, 颜色鲜明的上装, 宣布者"
contentment,"n. 满足, 使人满意的事物, 满意"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
contrast,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
"
convince,"vt. 说服, 使相信
"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
delay,"n. 耽搁, 迟滞
v. 耽搁, 延迟
"
devil,"n. 魔鬼
vt. 折磨, 戏弄"
diet,"n. 日常饮食, 议会
vt. 照规定饮食
vi. 忌食"
distinct,"a. 清楚的, 显著的, 不同的"
feverishly,adv. 兴奋地
frame,"n. 框, 结构, 体格
vt. 构成, 设计, 制定, 使适合, 陷害
"
freak,"n. 畸形人, 畸形物, 不正常的事物, 反复无常
a. 奇异的, 反常的"
jog,"n. 轻推, 轻撞, 慢跑
v. 轻推, (使)蹒跚行进, (使)慢跑"
lanky,a. 瘦长的
loose-fitting,松动零件
megadose,n. (维生素等的)大剂量 
muscular,"a. 强壮的, 肌肉发达的, 有力的
"
plead,"vi. 辩护, 恳求
vt. 为...辩护, 提出...借口, 托称, 恳求"
premise,"n. 前提, 房屋连地基, 上述各项
vt. 预先提出, 引出, 作为...的前提
vi. 作出前提"
pursue,"vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事
vi. 追赶, 继续"
quirk,"n. 古怪举动, 俏皮话, 急转"
saint,"n. 圣徒, 圣人
a. 神圣的
"
sanity,"n. 神智健全, 头脑清楚, 通情达理
"
slice,"n. 薄的切片, 一部分, 菜刀
vt. 切成薄片, 切下
vi. 切
"
tailor,"n. 裁缝, 成衣匠
vt. 缝制, 制作, 使适应
vi. 做裁缝"
teen,"n. 愤怒, 悲哀"
though,"adv. 然而, 可是
conj. 虽然, 纵然"
teen,"n. 愤怒, 悲哀"
un-American,反美的
unsettling,"a. 扰乱的, 使人不安的"
waist,"n. 腰部, 腰
"
wiry,"a. 金属线制的, 瘦长结实的
"
worship,"n. 崇拜, 礼拜, 尊敬
vi. 参加礼拜
vt. 崇拜, 尊敬"
be obsessed with,被…困扰
keep score,保留得分
milk shake,奶昔
pecan pie,[网络] 核桃派；胡桃派；山核桃派
take up with,"与...亲密交往, 致力于
"
work out,"v. 作出；拟定；制定；计划一下
"
anguish,"n. 剧痛, 痛苦
vt. 使极痛苦
vi. 感到痛苦"
assure,"vt. 保证, 使确信, 弄清楚, 担保
"
authorize,"vt. 授权, 批准, 委托
"
beneficiary,"n. 受惠者, 受益人
a. 受封的"
breast,"n. 胸部, 乳房, 胸怀
vt. 以胸对着, 面对"
collide,"vi. 碰撞, 互撞, 抵触"
consequence,"n. 结果, 重要性
"
console,"vt. 安慰, 藉慰
n. 控制台
"
deplorable,"a. 可叹的, 悲惨的, 凄惨的"
diagnostic,"a. 诊断的, 有助于诊断的, 特征的
n. 诊断, 病的征候, 诊断法
"
ego,"n. 自我
"
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
"
epiphany,"n. 主显节, 出现"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
eventually,"adv. 最后, 终于"
fascism,"n. 法西斯主义, 极端国家主义"
fatal,"a. 致命的, 重大的, 命运注定的, 粗心的, 不幸的
"
flee,"vt. 逃避, 逃跑, 逃走
vi. 逃, 消失"
gurney,n. （医院中推送病人用的）轮床； 邮件车
helicopter,"n. 直升机
vt. 由直升机运送
vi. 乘直升机"
instantly,"adv. 立即地, 即刻地"
intuition,"n. 直觉, 直觉的知识"
lump,"n. 块, 瘤, 很多, 肿块, 笨人
vt. 使成块状, 混在一起
vi. 结块"
malignant,"a. 有恶意的, 恶性的, 有害的
"
