school bag,书包
see a film, 看电影
Chinese,"n. 中文, 中国话, 中国人
a. 中国的, 中国话的"
English,[网络] 英语
Maths,n. 数学
Art,"n. 艺术；技术；技巧；表演艺术
v. 对一人讲话时用
"
Music,"n. 音乐, 乐曲"
IT,"n. 信息技术（全写为 information technology，对将电子处理程序及设备应用于存储和发送各类信息的研究和利用）
"
PE,"n. 体育（课）（全写为 physical education）
"
class,"n. 班级, 阶级, 种类, 课
vt. 分类
"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
telephone,"n. 电话, 电话机
v. 打电话"
smoking,"n. 抽烟, 冒烟
"
swimming,"n. 游泳, 眩晕"
walk,"n. 走, 散步, 步行, 行走的路程, 竞走, 散步场所
vi. 走路, 步行, 处世
vt. 走过, 遛, 使走, 护送...走"
sign,"n. 符号, 招牌, 征兆, 正负号, 手势
vt. 签名, 打手势表达
vi. 签名
"
cloud,"n. 云, 阴暗, 烟雾, 疑团
vt. 以云遮敝, 笼罩, 使黯然
vi. 乌云密布, 阴沉"
rain,"n. 雨, 下雨, 雨天
vi. 下雨
vt. 使大量落下"
snow,"n. 雪, 积雪, 下雪, 雪花形干扰
vi. 下雪, 似雪般落下
vt. 使雪白, 用雪覆盖, 使像雪般落下"
snowy,"a. 多雪的, 雪的, 被雪所覆盖着的, 下雪的"
storm,"n. 暴风雨, 骚动, 风波, 风暴, 猛攻
vi. 起风, 猛冲, 怒吼
vt. 猛攻"
stormy,"a. 暴风雨的, 粗暴的, 激烈的"
fog,"n. 雾, 迷惑, (割后的)最生草, 苔藓
vi. 被雾笼罩, 变模糊
vt. 使困惑, 以雾笼罩"
foggy,"a. 雾深的, 模糊的"
yesterday,"n. 昨天
adv. 昨天"
degree,"n. 程度, 度数, 学位, 度
"
weather,"n. 天气, 气象, 处境
a. 迎风的
vt. 使受风吹雨打, 侵蚀, 使风化, 经受住
vi. 风化, 受侵蚀, 经受风雨"
make,"vt. 制造, 安排, 创造, 构成, 使得, 产生, 造成, 整理, 布置, 引起, 到达, 进行
vi. 开始, 前进, 增大, 被制造, 被处理
n. 制造, 构造, 性情"
bookshelf,n. 书架
mirror,"n. 镜子, 写真, 典范
vt. 反映, 映出"
cushion,"n. 垫子, 橡皮软垫
vt. 加垫褥, 缓冲, 掩盖"
cupboard,"n. 食橱, 碗柜, 餐具柜"
bed,"n. 床, 睡眠处, 河床, 底座, 路基, 一层
vt. 提供宿处, 栽种, 安装
vi. 睡, 形成坚实的一层"
lamp,"n. 灯
vt. 照亮
"
sofa,n. 沙发
furniture,"n. 家具, 帆具"
next,"n. 下一个
a. 下一个的, 其次的, 贴近的
adv. 然后, 下次, 次于
"
give,"n. 弹性, 适应性
vt. 给, 授予, 供给, 产生, 发表, 付出, 献出, 让出
vi. 捐赠, 支持不住, 让步"
move,"n. 移动, 迁居, 步骤
vt. 移动, 开动, 感动, 搬(家)
vi. 移动, 离开, 运行, 迁移, 摇动, 搬家, 交往, 进展, 脱手
"
window,"n. 窗户, 窗子, 窗口
vt. 给...开窗
"
wall,"n. 墙, 墙壁, 垣, 内壁, 分界物, 屏障
a. 墙的
vt. 给...建墙, 禁闭, 用墙围住
"
science museum, 科学博物馆
art museum,n. 美术馆
history museum, 历史博物馆
insect museum,无
car museum,无
railway museum,无
perform,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
dance,"n. 跳舞, 舞蹈, 舞会
v. 跳舞"
useful,"a. 有用的, 有益的
"
really,"adv. 实际上, 真实地, 实在"
Christmas,[网络] 圣诞；基督的弥撒
Easter,n. 复活节
Halloween,n. 万圣节前夕（10月31日夜）
Thanksgiving,n. 感谢
find,"vt. 发现, 感到, 找到, 认为, 得到
vi. 裁决
n. 发现
"
hide,"n. 兽皮, 迹象, 躲藏处
vt. 藏, 隐瞒, 遮避, 剥...的皮, 隐藏
vi. 躲藏
"
holiday,"n. 假日, 假期, 节日
vi. 度假"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
giant,"n. 巨人, 大力士, 巨大怪物
a. 庞大的, 巨大的"
castle,"n. 城堡, 象棋中的车
vt. 置于城堡中, 盘踞于"
