cholera,"n. 霍乱
"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
"
diarrhoea,n. 腹泻
dehydration,"n. 脱水
"
frustrated,"a. 失意的, 挫败的；泄气的"
once and for all,"一次了结地, 一劳永逸地, 彻底地, 永远地, 最后一次"
contradictory,"a. 反驳的, 反对的, 抗辩的
n. 矛盾因素, 对立物"
infection,"n. 传染, 影响, 传染病
"
infect,"vt. 传染, 感染
"
germ,"n. 细菌, 种子, 生殖细胞, 根源
"
subscribe,"vt. 捐献, 签署
vi. 赞成, 同意, 捐款, 预订, 认购
"
subscribe to,"预订, 同意, 订阅"
proof,"n. 证据, 证明, 试验, 检验, 考验
a. 不能透入的, 证明用的, 防...的, 耐...的
vt. 检验, 试验, 校对, 使不被穿透
"
multiple,"n. 倍数, 并联
a. 多样的, 许多的, 多功能的"
pump,"n. 抽水机, 打气筒, 泵, 抽吸
vt. 用唧筒抽水, 打气, 盘问, 倾注, 使疲惫
vi. 抽水, 上下(或往复)运动"
water pump,[电] 抽水机
household,"n. 一家人, 家庭, 家族, 王室
a. 家庭的, 家常的, 王室的"
suspect,"n. 被怀疑者, 嫌疑犯
a. 令人怀疑的, 不可信的, 可疑的
v. 怀疑, 猜想"
blame,"n. 过失, 责备
vt. 责备, 归咎于"
handle,"n. 柄, 把手, 把柄, 柄状物, 手感
vt. 触摸, 运用, 买卖, 处理, 操作
vi. 搬运, 易于操纵
n. 句柄
"
intervention,"n. 插入, 介入, 调停
"
link,"n. 环, 连结物, 链接, 火把
vt. 连结, 联合, 挽住
vi. 连接起来
"
raw,"n. 擦伤处, 半成品
a. 生的, 未加工的, 生疏的, 不成熟的, 阴冷的, 刺痛的, 擦掉皮的
vt. 擦伤
"
pure,"a. 纯的, 纯净的, 纯洁的, 清白的, 完美的, 无瑕的, 抽象的
"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
decrease,"n. 减少, 减少量
v. 减少"
thanks to,由于
statistic,"n. 统计量
a. 统计的, 统计学的"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
epidemiology,"n. 传染病学, 流行病学
"
microscope,"n. 显微镜
"
thinking,"n. 思考, 思想
a. 思考的, 有理性的"
protein,"n. 蛋白质
a. 蛋白质的"
cell,"n. 单元, 细胞, 电池
"
virus,"n. 病毒, 滤过性病毒, 毒害
"
finding,"n. 发现, 发现物, 决定, 裁决
"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
vaccine,"n. 牛痘苗, 疫苗
a. 疫苗的, 牛痘的"
framework,"n. 结构, 骨架, 参照标准, 准则, 观点
"
theoretical framework,理论架构
solid,"n. 固体
a. 坚硬的, 稳固的, 固体的, 实心的, 纯质的, 立体的, 立方的
"
