describe,"vt. 描述, 描绘, 画"
nitrogenous,"a. 氮的, 含氮的
"
phosphate,"n. 磷酸盐, 磷酸酯
"
uracil,n. [生化]尿嘧啶
thymine,"n. 胸腺嘧啶
"
catalyze,"vt. 催化, 促进, 刺激
"
myriad,"n. 无数, 无数的人(或物)
a. 无数的, 种种的"
amino acid,n. [生化] 氨基酸
carboxyl group,酸基团
uniformity,"n. 无差异, 同样, 划一, 一致
"
metabolic,"a. 变化的, 变形的, 新陈代谢的
"
foodstuff,"n. 食品, 粮食"
kinship,"n. 亲属关系
"
geological,"a. 地质学的, 地质的"
multidisciplinary,a. 多学科的
scenario,"n. 剧本提纲, 情节, 剧本, 方案, 事态
"
inorganic,"a. 无机的, 无生物的, 非自然形成的
"
endeavor,"n. 努力, 尽力
vi. 努力, 尽力"
