moss,"n. 苔藓, 泥沼
vt. 使长满苔藓"
tundra,"n. 苔原, 冻原"
scrubland,n. 灌木丛林地
bark,"n. 树皮, 吠声
vi. 吠, 叫骂
vt. 喊出, 剥树皮"
pine bark,松树皮
trunk,"n. 树干, 干线, 躯干, 主干, 象鼻, 箱子
vt. 把...放入旅行箱内
a. 树干的, 躯干的, 干线的, 箱形的
"
stem,"n. 茎, 干, 柄, 船首, 血统, 堵塞物
vt. 摘掉茎, 装柄于, 阻止, 堵住, 逆行
vi. 堵住, 逆行"
twig,"n. 小枝, 细枝
v. 懂得, 了解"
evergreen,"n. 常绿树, 常绿植物
a. 常绿的"
evergreen tree,"n. 冬青树,常青树"
cluster,"n. 串, 丛, 群, 簇
vi. 成串, 丛生
vt. 使聚集
"
a cluster of flower,无
anthropologist,n. 人类学家
humanist,"n. 人道主义者, 人文学者"
anthropology,"n. 人类学
"
anthropological,"a. 人类学的, 人类学上的"
anthropoid,"n. 类人猿
a. 似人的"
discover,"vt. 发现, 找到, 暴露
vi. 发现"
discovery,"n. 发现, 被发现的事物
"
universally,"adv. 宇宙, 全世界, 普遍, 一般, 普通, 全体, 一致, 通用, 万能, 广用, 广泛"
universe,"n. 宇宙, 星系, (思想等)范围"
universal,"a. 全世界的, 普遍的, 宇宙的, 通用的
n. 一般概念"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
indicate,"vt. 显示, 象征, 指示, 指出
"
reflection,"n. 反映, 沉思, 映像, 想法, 责难
"
facial,"n. 美颜, 脸部按摩
a. 脸的, 表面的, 脸部用的"
facial foam,无
facial recognition, 面孔识别
expression,"n. 表达, 表现, 词语, 措辞
"
manifestation,"n. 显示, 证明, 示威运动
"
diction,"n. 措辞, 发音, 用语"
expressive,"a. 表达的, 富于表情的"
aghast,"a. 惊骇的, 吓呆的"
aghast at sth.,惊呆的，吓呆的，一看到(或听到)…就吓得发呆的，大吃一惊的
appall,"vt. 使丧胆, 使惊骇"
appalling,"a. 骇人的, 令人震惊的"
craven,"n. 懦夫, 怯懦者, 胆小鬼
a. 怯懦的, 畏缩的, 胆小的"
cowardly,"a. 怯懦的, 懦弱的；胆小的"
creep,"n. 爬, 徐行, 蠕动
vi. 爬, 蔓延, 潜行"
creepy,"a. 爬行的, 令人毛骨悚然的"
dread,"n. 恐惧, 可怕的人(或事)
a. 可怕的, 可怖的
v. 恐惧, 害怕"
dreadful,a. 可怕的
fright,"n. 惊骇, 吃惊
"
stage fright,怯场
petrified,"a. 惊呆的; 目瞪口呆的
v. 使吓呆, 使惊呆; 变僵硬; 使石化(petrify的过去式和过去分词)"
petrify,"vt. (非正式)使惊呆, 使吓得要死, 使发呆
vt.vi. 使石化, 使成为化石, 使变僵, 变僵硬, 使消失活力, 使僵化"
terrified,a. 受惊吓的；感到恐惧的
be terrified of,对...感到惊恐
terrify,"vt. 使恐惧, 恐吓"
timid,"a. 胆小的, 羞怯的"
as timid as a hare,胆小如鼠
tremble,"n. 战栗, 颤抖
vi. 战栗, 忧虑, 摇晃"
trembling,"a. 发抖的, 战栗的
"
ecstasy,"n. 狂喜, 心醉神迷, 忘形
"
ecstatic,"n. 狂喜的人
a. 狂喜的"
exaltation,"n. 提升, 提高, 得意洋洋
"
exalt,"vt. 提升, 提高, 赞扬, 使得意
vi. 使人兴奋, 使人得意"
exhilaration,"n. 令人高兴, 愉快"
exhilarate,"vt. 使高兴, 使愉快, 鼓励"
gratify,vt. 使满足
gratification,"n. 令人满足的事(或物), 满足, 喜悦
"
grin,"n. 露齿笑
v. 露齿而笑"
grin and bear it,"默默忍受,逆来顺受"
intoxicate,"vt. 使陶醉, 使喝醉"
intoxication,"n. 使醉, 沉醉状态
"
merry,"a. 快乐的, 愉快的, 嬉戏作乐的"
merrily,"adv. 愉快地, 高兴地"
mirth,"n. 欢笑, 欢乐, 愉快"
overjoyed,"a. 狂喜的, 非常高兴的"
overjoyed at sth.,无
rejoice,"vt. 使欢喜
vi. 欣喜, 高兴, 庆祝"
rejoice in,"享有…,因…感到高兴"
aggrieve,"vt. 使委屈, 使悲痛, 侵害
"
agony,"n. 极大的痛苦, 挣扎
"
in agony,在苦恼中
anguish,"n. 剧痛, 痛苦
vt. 使极痛苦
vi. 感到痛苦"
in anguish,无
deplore,"vt. 悲悼, 哀叹, 对...深感遗憾"
distress,"n. 苦恼, 贫困, 痛苦
vt. 使苦恼
a. 亏本出售的"
distress signal,[电] 呼救信号
dolefulness,n. 悲哀;寂寞;阴沉
doleful,"a. 悲哀的, 忧郁的, 阴沉的"
grief,"n. 伤心, 忧愁, 悲痛, 不幸, 灾难"
come to grief,"遭到不幸, 遭难, 失败"
grieve,"vt. 使悲伤
vi. 悲痛, 伤心"
grieve for,哀悼
lament,"n. 悲叹, 悔恨, 恸哭, 挽歌, 悼词
vt. 哀悼
vi. 悔恨, 悲叹"
misery,"n. 痛苦, 悲惨, 不幸, 穷困"
live in misery and want,无
mourn,"v. 哀悼, 忧伤, 服丧"
mourn for,"追悼,悼念"
sorrow,"n. 悲伤, 哀惜, 不幸
vi. 悲伤, 懊悔, 遗憾"
sorrow at,无
torment,"n. 使人痛苦的东西, 折磨者, 苦痛
vt. 使苦恼, 纠缠, 歪曲, 拷问"
inner torment,无
astonish,vt. 使惊讶
astonish at,使…对…感到惊讶
astound,"vt. 使惊骇, 使大惊"
astounding,a. 令人惊骇的
fabulous,"a. 传说的, 寓言般的, 难以置信的"
inconceivable,"a. 不能想象的, 想不到的, 难信的"
inconceivable disaster,无
incredible,a. 难以置信的
incredible style,无
marvelous,"a. 令人惊异的, 了不起的, 不平常的"
marvel,"n. 奇异事物, 罕见例子
vt. 惊异于
vi. 惊异"
startle,"n. 惊愕, 惊恐
vt. 吃惊, 使惊愕
vi. 惊起"
startle response, 吃惊反应
striking,"a. 醒目的, 惊人的, 打击的, 罢工的
"
strike,"n. 罢工, 打击, 殴打
vt. 打, 撞击, 冲击, 侵袭, 取消, 结算, 打掉, 罢工, 刺透, 使生根, 遇见
vi. 打, 打击, 抓, 罢工, 搏动, 触礁, 敲, 响, 穿透, 打动"
stunning,"a. 打昏迷的, 弄得人昏头昏脑的, 令人震惊的"
stun,"vt. 使昏迷, 使震惊, 打昏
n. 昏迷, 猛击"
aesthetician,n. 审美学家
aesthetics,n. 美学
archaeologist,n. 考古学家
archaeology,n. 考古学
astronomer,n. 天文学家
astronomy,n. 天文学
ecologist,n. 生态学者
ecology,"n. 生态学, 社会生态学
"
ethnologist,"n. 民族学者, 人种学者"
ethnology,"n. 人种学
"
entomologist,"n. 昆虫学者
"
entomology,"n. 昆虫学
"
linguistician,"n. 语言学家, 通晓外国语言的人"
linguistics,n. 语言学
neurologist,"n. 神经病学者, 神经科医师
"
neurology,"n. 神经病学
"
ornithologist,n. 鸟类学者
ornithology,n. 鸟类学
pathologist,"n. 病理学家
"
pathology,"n. 病理学, 病理, 病状, 病变
"
taxonomist,n. 分类学家
taxonomy,"n. 分类学, 分类系统
"
astrologist," 占星家, 占卜师"
astrology,"n. 占星术, 占星学"
physiologist,"n. 生理学者
"
physiology,"n. 生理学, 生理机能
"
geologist,"n. 地质学家, 地质学者"
geology,"n. 地质学, 地质情况"
meteorologist,n. 气象学者
meteorology,"n. 气象学, 气象状态
"
oceanographer,n. 海洋学家
oceanography,n. 海洋学
paleontologist,n. 古生物学者
paleontology,"n. 古生物学
"
demographer,n. 人口统计学家
demography,"n. 人口统计学
"
